전통주명,가격,용량,주종,도수,단맛,신맛,바디감,청량감,잘 어울리는 음식,주원료,제조사,유형
아이싱 자몽,"5,000",350ml,탁주,4,3,1,3,1,케잌 같은 디저트 음식,"쌀, 자몽엑기스",국순당,1
창원 생탁주,"1,000",750ml,탁주,6,3,3,3,3,"코다리찜, 가오리찜","쌀(국내산), 누룩, 효소, 아스파탐, 정제수",,4
애피소드 상그리아,"21,000",500ml,과실주,3.5,4,4,2,4,쿠키,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈,4
산내울 복분자주,"20,000",750ml,리큐르,16,4,4,3,3,탄산수와 섞어 마실 것을 추천,"복분자, 설탕, 주정, 정제수, 과당",거창사과원예농협,4
산내울 사과애주,"14,000",750ml,리큐르,16,4,4,2,3,탄산수와 섞어 마실 것을 추천,"사과, 설탕, 주정, 정제수, 과당",거창사과원예농협,4
백운 복분자주,"7,000",360ml,기타주류,13,3,2,2,2,탕수육,"쌀, 토종 복분자과즙",,2
지평 생 옛막걸리,"2,500",1700ml,탁주,5,4,1,2,2,파김치,"밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조,2
그랑꼬또 청수,"60,000",750ml,과실주,12,2,1,2,3,파스타,포도,그린영농조합,2
소백산 청 동동주,"3,000",1700ml,약주,10,2,1,4,2,파스타,"쌀, 소맥분, 누룩, 주정, 고과당, 대추 등",대강양조장,1
명작 복분자,"78,000",375ml,과실주,13,3,1,1,1,파이,"복분자, 효모, 주정, 정제수, 과당, 구연산",,2
김포 막걸리,"1,200",750ml,탁주,6,2,2,1,3,파전,"쌀, 누룩, 정제수",김포양조,2
월매 쌀막걸리(캔),"1,200",350ml,탁주,6,2,2,1,3,파전,"백미, 말토올리고당, 정제수",서울장수㈜,2
은자골 생 탁배기,"1,500",750ml,탁주,5,1,3,3,3,파전,국내산 쌀,은척양조장,3
모월 연,"18,000",500ml,약주,13,1,3,2,2,편한 일상 속 저녁 식사와 함께,"국내산 쌀, 밀누룩(국산)",모월,3
천지주가 생 막걸리,"1,400",750ml,탁주,6,3,2,1,2,피순대,"쌀, 정제수, 국, 효모",,2
자두와인 레드,"22,000",750ml,과실주,12,2,3,2,2,피자,피자두,,3
자희향 나비,"8,000",500ml,탁주,8,2,1,2,2,피자,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,2
두유노 (단종),"6,000",600ml,탁주,6,2,3,3,3,"피자, 치킨, 떡볶이","국내산 찹쌀, 국내산 멥쌀, 누룩, 밀가루",디오케이브루어리,4
"코이버펑크, 샤르도네 세미용 2018","65,000",750ml,과실주,11.5,2,4,4,4,한식,"샤르도네 포도품종, 세미용 포도품종, 실바너 포도품종",코이버펑크,4
황진이주,"3,500",375ml,약주,13,3,2,3,1,한우 구이,"국내산 오미자, 국내산 산수유",농업회사법인(유)술소리,1
방문주 약주,"7,000",500ml,약주,15,2,3,3,3,"한우 불고기, 떡갈비","국내산 찹쌀, 누룩, 정제수",,4
선운산 복분자주 프리미엄,"40,000",700ml,과실주,19,4,3,2,3,한우 수육,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진,4
정고집 나주배 약주 9%,"18,000",500ml,약주,9,4,2,2,3,한우 수육,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모",남도탁주,4
동학 1957,"3,500",375ml,약주,13,3,3,3,2,한정식,"국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인,4
뱅꼬레 로제와인,"23,000",375ml,과실주,11.5,4,3,2,3,한정식,양조용포도(영천),한국와인,4
맑은내일 발효막걸리,"2,200",750ml,탁주,7,3,3,4,3,"함박 스테이크, 파스타","쌀(국내산), 누룩, 효소, 아스파탐, 정제수",,2
자희향,"16,000",500ml,탁주,12,2,2,3,1,해물찜,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,1
편백숲 산소막걸리 순수령,"4,000",750ml,탁주,5.8,3,1,4,1,"호두, 땅콩","찹쌀, 맵쌀, 누룩",청산녹수,1
오산 막걸리,"3,000",500ml,탁주,6,2,4,3,2,"홍어, 오징어","쌀(국내산), 국, 효모, 정제수",,3
봉하쌀 생막걸리,"2,000",750ml,탁주,6,1,2,2,3,홍어무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)봉하마을,3
봉하쌀 생막걸리,"2,000",750ml,탁주,6,1,2,2,3,홍어무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",,3
술예쁘다 생탁주,"18,000",500ml,탁주,13,1,3,2,1,홍어무침,"국내산 쌀, 누룩",좋은술,3
오산막걸리,"3,000",500ml,탁주,6,2,4,3,2,"홍어무침, 오징어무침","쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜,3
정고집 나주쌀 생막걸리,"1,200",750ml,탁주,6,3,3,3,3,홍어삼합,"쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주,4
풍정사계 추(秋),"15,000",500ml,탁주,12,1,2,2,1,홍어삼합,풍정사계 추(秋),화양,3
술헤는밤,"5,900",750ml,탁주,8,2,4,3,2,홍천 산나물 무침,"쌀(국내산), 누룩(국내산)",두루전통양조,3
소양강 생 막걸리,"1,200",750ml,탁주,6,1,3,3,2,황태구이,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)",3
금정산성막걸리,"1,900",750ml,탁주,8,1,3,3,2,흑염소 불고기,"백미, 밀(누룩), 정제수",금정산성 토산주,3
니모메,"12,000",375ml,약주,11,2,1,2,1,흰 살 생선 회,"쌀(국내산), 감귤 진피, 정제수",제주샘주,2
삼양춘 생약주,"20,000",500ml,약주,15,2,1,2,1,흰살 생선 찜,"강화섬쌀, 전통누룩, 정제수",삼양춘,2
미르 40,"23,000",375ml,증류주,40,1,0,4,0,흰살 생선회,"쌀(국내산 경기미 100%), 누룩, 정제수",,1
